id,Pos,Name,BV,SV,Team,1_xMins,1_Pts,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts
1,1,Leno,50,50,ARS,88,3.674,88,3.331,87,3.022,87,3.935,86,3.572
2,1,Rúnarsson,40,40,ARS,1,0.042,1,0.038,2,0.069,2,0.091,3,0.125
3,3,Willian,65,65,ARS,28,1.498,8,0.387,5,0.197,6,0.368,8,0.419
4,4,Aubameyang,100,100,ARS,0,0,50,2.511,78,3.071,75,4.864,73,3.951
5,2,Cédric,45,45,ARS,10,0.409,8,0.26,10,0.212,11,0.536,15,0.6
6,4,Lacazette,85,85,ARS,0,0,43,2.177,60,2.448,64,4.266,62,3.442
7,3,Xhaka,50,50,ARS,85,2.753,84,2.451,80,2.103,78,2.749,76,2.401
8,2,Marí,45,45,ARS,62,2.457,44,1.371,32,0.634,27,1.265,35,1.35
9,2,Bellerín,50,50,ARS,73,3.027,73,2.354,71,1.431,69,3.416,66,2.647
10,2,Chambers,45,45,ARS,27,1.156,24,0.816,19,0.412,15,0.758,16,0.66
11,2,Kolasinac,45,45,ARS,3,0.129,4,0.136,3,0.067,5,0.254,4,0.166
12,3,Elneny,45,45,ARS,0,0,0,0,1,0.031,0,0,0,0
13,3,Maitland-Niles,55,55,ARS,2,0.084,0,0,0,0,0,0,0,0
14,2,Holding,45,45,ARS,18,0.694,47,1.414,70,1.309,70,3.189,65,2.425
15,3,Partey,50,50,ARS,0,0,5,0.155,26,0.715,73,2.692,69,2.283
16,2,Tierney,50,50,ARS,86,3.719,84,2.802,82,1.704,79,4.081,80,3.337
17,3,Pépé,75,75,ARS,84,5.503,69,3.577,63,2.548,62,4.318,62,3.516
18,3,Torreira,45,45,ARS,11,0.38,11,0.358,8,0.243,2,0.073,4,0.135
19,3,Willock,60,60,ARS,15,0.645,8,0.312,5,0.171,7,0.333,7,0.293
20,4,Nketiah,55,55,ARS,0,0,0,0,0,0,1,0.068,2,0.115
21,3,Smith Rowe,55,55,ARS,72,3.486,63,2.665,57,2.036,56,3.149,56,2.662
22,3,Saka,65,65,ARS,62,3.362,62,3.007,50,1.989,51,3.37,53,2.872
23,2,Gabriel,50,50,ARS,0,0,0,0,0,0,0,0,0,0
24,2,Mavropanos,45,45,ARS,0,0,0,0,0,0,0,0,0,0
25,3,Guendouzi,45,45,ARS,0,0,0,0,0,0,0,0,0,0
26,3,Martinelli,55,55,ARS,77,4.811,45,2.336,34,1.401,32,2.163,30,1.677
27,2,Saliba,45,45,ARS,0,0,0,0,0,0,0,0,0,0
