id,Pos,Name,BV,SV,Team,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts
1,1,Leno,49,49,ARS,14,0.577,14,0.56,17,0.68,18,0.785,15,0.634
2,1,Rúnarsson,40,40,ARS,0,0,0,0,0,0,0,0,0,0
3,3,Willian,63,63,ARS,0,0,0,0,0,0,0,0,0,0
4,4,Aubameyang,99,99,ARS,77,4.563,73,4.294,74,4.145,73,4.812,73,4.657
5,2,Cédric,44,44,ARS,14,0.604,21,0.871,19,0.769,19,0.919,21,0.987
6,4,Lacazette,84,84,ARS,39,2.435,36,2.237,36,2.152,38,2.61,39,2.588
7,3,Xhaka,49,49,ARS,0,0,75,2.332,74,2.268,73,2.471,72,2.39
8,2,Marí,44,44,ARS,18,0.676,16,0.564,15,0.513,13,0.546,16,0.644
9,2,Bellerín,48,48,ARS,0,0,0,0,0,0,0,0,0,0
10,2,Chambers,44,44,ARS,5,0.211,6,0.246,5,0.199,4,0.183,5,0.223
11,2,Kolasinac,43,43,ARS,1,0.034,1,0.033,2,0.065,1,0.038,2,0.074
12,3,Elneny,45,45,ARS,0,0,0,0,1,0.043,1,0.046,2,0.09
13,3,Maitland-Niles,54,54,ARS,17,0.809,2,0.103,3,0.151,4,0.214,5,0.262
14,2,Holding,43,43,ARS,0,0,4,0.145,12,0.422,13,0.553,18,0.739
15,3,Partey,50,50,ARS,81,2.739,62,2.207,63,2.192,60,2.323,60,2.265
16,2,Tierney,49,49,ARS,86,3.646,85,3.338,81,3.12,83,3.997,80,3.664
17,3,Pépé,72,72,ARS,64,3.752,67,3.79,66,3.58,65,4.196,64,3.993
18,3,Torreira,45,45,ARS,0,0,0,0,0,0,0,0,0,0
20,4,Nketiah,54,54,ARS,0,0,1,0.065,1,0.063,1,0.072,1,0.071
21,3,Smith Rowe,53,53,ARS,23,1.372,23,1.352,25,1.418,23,1.488,23,1.451
22,3,Saka,63,63,ARS,67,3.501,65,3.333,63,3.142,63,3.664,62,3.5
23,2,Gabriel,50,50,ARS,82,3.213,82,2.969,78,2.766,77,3.465,74,3.147
24,2,Mavropanos,45,45,ARS,0,0,0,0,0,0,0,0,0,0
25,3,Guendouzi,45,45,ARS,0,0,0,0,0,0,0,0,0,0
26,3,Martinelli,53,53,ARS,15,0.956,18,1.125,18,1.096,19,1.329,20,1.343
27,2,Saliba,45,45,ARS,0,0,0,0,0,0,0,0,0,0
67,2,White,44,44,ARS,88,3.196,85,2.879,83,2.739,82,3.441,80,3.166
466,2,Tavares,44,44,ARS,3,0.13,4,0.166,8,0.325,5,0.233,6,0.271
478,3,Sambi Lokonga,50,50,ARS,71,2.423,35,1.314,34,1.261,36,1.441,35,1.376
530,4,Balogun,49,49,ARS,1,0.065,1,0.064,2,0.126,2,0.142,1,0.069
531,3,Nelson,50,50,ARS,0,0,0,0,0,0,0,0,0,0
532,1,Hein,40,40,ARS,0,0,0,0,0,0,0,0,0,0
558,3,Ødegaard,55,55,ARS,65,3.049,61,2.851,59,2.688,62,3.228,60,3.054
559,1,Ramsdale,45,45,ARS,75,3.1,75,3.006,72,2.887,71,3.106,74,3.138
572,1,Okonkwo,40,40,ARS,0,0,0,0,0,0,0,0,0,0
590,2,Tomiyasu,45,45,ARS,72,2.972,63,2.418,66,2.477,67,3.177,65,2.903
28,1,Steer,40,40,AVL,19,0.751,0,0,1,0.036,1,0.042,2,0.072
29,3,Hourihane,49,49,AVL,0,0,0,0,0,0,0,0,0,0
30,1,Martínez,55,55,AVL,70,2.763,89,3.079,88,3.127,88,3.63,87,3.112
31,2,Engels,45,45,AVL,0,0,0,0,0,0,0,0,0,0
32,3,Traoré,59,59,AVL,14,0.852,14,0.718,13,0.702,13,0.815,14,0.753
34,3,Sanson,50,50,AVL,21,1.02,20,0.87,19,0.867,21,1.025,24,1.036
35,3,McGinn,59,59,AVL,80,2.87,77,2.277,77,2.409,78,2.877,75,2.363
36,2,Hause,44,44,AVL,2,0.088,4,0.12,7,0.217,8,0.328,9,0.269
37,3,Trézéguet,55,55,AVL,0,0,0,0,0,0,0,0,0,0
38,2,Mings,50,50,AVL,88,3.035,85,1.615,80,1.985,81,3.115,81,2.028
39,2,Targett,48,48,AVL,87,3.013,84,1.609,83,2.061,79,3.121,76,1.973
40,4,Watkins,73,73,AVL,64,2.995,63,2.311,63,2.473,61,2.953,60,2.383
41,3,Nakamba,45,45,AVL,12,0.525,11,0.454,14,0.58,15,0.657,14,0.581
42,3,El Ghazi,60,60,AVL,38,2.217,36,1.678,38,1.877,35,2.188,41,2.041
43,3,Buendía,64,64,AVL,50,2.613,62,2.501,60,2.604,57,3.114,56,2.483
44,2,Cash,50,50,AVL,88,2.928,84,1.556,84,2.008,81,3.04,80,1.972
45,2,Konsa,49,49,AVL,87,2.943,85,1.584,82,2.002,82,3.081,80,1.985
46,2,Guilbert,45,45,AVL,0,0,0,0,0,0,0,0,0,0
47,4,Wesley,54,54,AVL,0,0,0,0,0,0,0,0,0,0
48,4,Samatta,55,55,AVL,0,0,0,0,0,0,0,0,0,0
49,4,Davis,45,45,AVL,0,0,0,0,0,0,2,0.128,1,0.055
50,3,Douglas Luiz,45,45,AVL,74,2.363,71,1.98,69,2.02,66,2.21,65,1.937
51,3,Ramsey,45,45,AVL,29,1.264,33,1.24,34,1.312,36,1.525,37,1.4
52,2,Young,50,50,AVL,11,0.461,15,0.54,16,0.662,20,1.055,23,0.918
283,2,Tuanzebe,45,45,AVL,19,0.683,22,0.523,27,0.78,27,1.106,29,0.846
337,4,Ings,80,80,AVL,74,4.186,74,3.146,72,3.311,74,4.273,71,3.299
492,3,Bailey,64,64,AVL,48,2.48,47,1.932,45,1.983,46,2.458,46,2.026
496,3,Ramsey,45,45,AVL,0,0,0,0,0,0,0,0,1,0.048
497,3,Philogene-Bidace,50,50,AVL,0,0,0,0,0,0,1,0.053,0,0
526,3,Chukwuemeka,45,45,AVL,0,0,0,0,0,0,0,0,0,0
568,4,Archer,45,45,AVL,0,0,0,0,0,0,0,0,0,0
596,1,Sinisalo,40,40,AVL,0,0,0,0,0,0,0,0,0,0
76,2,Jansson,46,46,BRE,88,2.418,85,1.711,83,1.842,80,1.736,80,2.383
77,3,Nørgaard,50,50,BRE,78,2.415,76,2.204,75,2.21,73,2.123,73,2.328
78,4,Toney,63,63,BRE,86,4.333,83,3.784,81,3.817,82,3.65,79,4.316
79,3,Fosu,52,52,BRE,0,0,0,0,0,0,0,0,0,0
80,1,Raya,46,46,BRE,89,3.295,88,3.055,88,3.107,87,3.037,87,3.258
81,3,Canós,55,55,BRE,73,2.666,72,2.43,69,2.393,72,2.396,68,2.573
82,3,Dasilva,54,54,BRE,0,0,0,0,0,0,0,0,0,0
83,2,Henry,45,45,BRE,85,2.595,83,1.879,82,2.019,80,1.918,77,2.563
84,3,Janelt,50,50,BRE,77,2.418,72,2.164,71,2.168,69,2.091,69,2.279
85,3,Ghoddos,54,54,BRE,3,0.152,5,0.259,7,0.374,8,0.423,8,0.475
86,3,Jensen,49,49,BRE,36,1.43,40,1.483,43,1.588,39,1.443,43,1.699
87,2,Goode,39,39,BRE,6,0.167,14,0.352,15,0.406,19,0.515,21,0.731
88,4,Forss,54,54,BRE,4,0.241,7,0.413,9,0.527,8,0.453,10,0.654
89,2,Roerslev,44,44,BRE,15,0.604,16,0.598,18,0.7,16,0.61,20,0.91
90,2,Sørensen,44,44,BRE,0,0,0,0,0,0,0,0,0,0
91,2,Pinnock,46,46,BRE,88,2.527,85,1.797,85,1.956,82,1.83,81,2.491
92,1,Balcombe,40,40,BRE,0,0,0,0,0,0,0,0,0,0
93,3,Zamburek,45,45,BRE,0,0,0,0,0,0,3,0.129,0,0
94,1,Gunnarsson,40,40,BRE,0,0,0,0,0,0,0,0,0,0
95,4,Dervişoğlu,54,54,BRE,0,0,0,0,0,0,0,0,0,0
96,3,Mbeumo,55,55,BRE,85,3.826,83,3.394,80,3.376,79,3.25,79,3.883
97,3,Bidstrup,45,45,BRE,0,0,1,0.042,1,0.042,2,0.084,2,0.087
479,3,Onyeka,49,49,BRE,48,1.808,46,1.65,46,1.669,49,1.72,42,1.654
483,2,Ajer,45,45,BRE,86,2.511,81,1.775,82,1.931,80,1.827,80,2.497
498,2,Thompson,45,45,BRE,0,0,2,0.059,2,0.061,2,0.06,5,0.18
499,3,Baptiste,50,50,BRE,30,1.25,35,1.343,35,1.354,38,1.418,41,1.623
524,3,Wissa,59,59,BRE,0,0,1,0.048,2,0.098,2,0.096,2,0.104
556,1,Fernández,45,45,BRE,0,0,1,0.035,1,0.036,2,0.071,2,0.076
569,2,Stevens,40,40,BRE,0,0,0,0,0,0,0,0,0,0
594,2,Zanka,45,45,BRE,0,0,0,0,0,0,0,0,0,0
53,3,Lallana,54,54,BHA,66,2.506,56,2.165,55,2.171,50,2.071,55,1.902
54,1,Steele,40,40,BHA,0,0,0,0,1,0.039,1,0.041,2,0.071
55,3,Groß,60,60,BHA,20,0.891,44,1.885,54,2.351,58,2.642,55,1.976
56,2,Duffy,42,42,BHA,77,2.908,70,2.526,61,2.17,56,2.201,53,1.21
57,3,Pröpper,45,45,BHA,0,0,0,0,0,0,0,0,0,0
58,2,Burn,44,44,BHA,0,0,0,0,0,0,0,0,0,0
59,2,Dunk,50,50,BHA,88,3.414,85,3.115,82,3.015,82,3.368,82,1.877
60,3,March,54,54,BHA,55,2.118,46,1.8,42,1.664,39,1.627,38,1.402
61,2,Webster,45,45,BHA,71,2.421,80,2.66,78,2.581,77,2.828,76,1.601
62,2,Veltman,44,44,BHA,81,3.058,69,2.504,67,2.358,56,2.117,62,1.38
63,4,Maupay,65,65,BHA,80,3.883,76,3.502,73,3.422,74,3.591,73,2.802
64,3,Trossard,64,64,BHA,69,3.448,66,3.185,66,3.217,66,3.371,63,2.526
65,1,Ryan,45,45,BHA,0,0,0,0,0,0,0,0,0,0
66,3,Jahanbakhsh,55,55,BHA,0,0,0,0,0,0,0,0,0,0
68,2,Bernardo,40,40,BHA,0,0,0,0,0,0,0,0,0,0
69,1,Sánchez,45,45,BHA,89,3.52,89,3.507,88,3.431,87,3.522,87,3.042
70,3,Bissouma,46,45,BHA,87,2.685,82,2.503,83,2.517,81,2.557,78,2.131
71,2,Lamptey,44,44,BHA,0,0,30,1.173,47,1.845,74,3.24,72,1.821
72,4,Connolly,54,54,BHA,18,1.027,24,1.311,23,1.27,25,1.418,24,1.148
73,3,Alzate,50,50,BHA,2,0.088,1,0.043,1,0.043,0,0,1,0.041
74,3,Mac Allister,55,55,BHA,32,1.52,30,1.413,28,1.337,26,1.321,25,1.101
75,3,Moder,45,45,BHA,13,0.607,10,0.46,10,0.463,11,0.518,13,0.56
447,4,Welbeck,60,60,BHA,62,3.079,53,2.58,54,2.664,51,2.639,53,2.2
462,3,Mwepu,59,59,BHA,4,0.187,6,0.274,4,0.178,6,0.277,5,0.216
476,1,Scherpen,45,45,BHA,0,0,0,0,0,0,0,0,0,0
500,4,Andone,50,50,BHA,0,0,0,0,0,0,0,0,0,0
535,4,Zeqiri,45,45,BHA,0,0,0,0,0,0,0,0,0,0
536,2,Karbownik,40,40,BHA,0,0,0,0,0,0,0,0,0,0
537,3,Richards,45,45,BHA,0,0,0,0,0,0,0,0,0,0
538,3,Caicedo,45,45,BHA,0,0,0,0,0,0,0,0,0,0
560,2,Roberts,40,40,BHA,0,0,0,0,0,0,0,0,0,0
584,2,Cucurella,50,50,BHA,60,2.636,57,2.398,58,2.429,54,2.513,55,1.53
595,4,Locadia,45,45,BHA,0,0,2,0.122,2,0.123,3,0.192,4,0.215
98,2,Tarkowski,50,50,BUR,89,2.713,86,2.115,84,3.625,84,1.01,81,2.492
99,2,Bardsley,40,40,BUR,1,0.027,2,0.048,3,0.104,4,0.063,7,0.205
100,2,Pieters,44,44,BUR,0,0,1,0.03,1,0.04,1,0.022,4,0.137
101,3,Cork,45,45,BUR,32,1.123,34,1.121,41,1.52,40,1.159,39,1.31
102,3,Stephens,45,45,BUR,0,0,0,0,0,0,0,0,0,0
103,2,Long,40,40,BUR,1,0.041,9,0.254,9,0.375,10,0.174,15,0.473
104,4,Rodriguez,54,54,BUR,16,0.925,17,0.9,18,1.161,21,0.961,21,1.182
105,4,Barnes,55,55,BUR,66,2.879,66,2.605,64,3.257,63,2.164,63,2.764
106,2,Mee,49,49,BUR,88,2.795,83,2.127,85,3.793,84,1.052,81,2.577
107,3,Westwood,54,54,BUR,86,2.777,83,2.503,81,3.044,80,2.108,78,2.537
108,3,Gudmundsson,55,55,BUR,53,2.181,56,2.107,51,2.412,51,1.71,55,2.226
109,4,Wood,69,69,BUR,79,4.041,76,3.445,76,4.67,74,2.722,73,3.679
110,2,Lowton,44,44,BUR,88,2.637,86,2.078,84,3.551,83,0.986,81,2.453
111,4,Vydra,53,53,BUR,18,1.071,20,1.05,20,1.315,20,0.922,21,1.182
112,1,Pope,55,55,BUR,90,3.356,89,3.166,88,3.728,89,3.074,87,3.27
113,2,Taylor,45,45,BUR,86,2.47,84,1.954,81,3.279,81,0.93,80,2.335
114,1,Norris,45,45,BUR,0,0,0,0,0,0,0,0,0,0
115,3,Brownhill,45,45,BUR,78,2.546,74,2.261,70,2.647,71,1.919,68,2.228
116,3,Benson,45,45,BUR,0,0,0,0,0,0,0,0,0,0
117,1,Peacock-Farrell,45,45,BUR,0,0,0,0,0,0,0,0,0,0
118,3,McNeil,59,59,BUR,81,2.794,75,2.435,74,3.01,73,2.068,71,2.507
451,2,Collins,44,44,BUR,0,0,0,0,1,0.05,0,0,0,0
480,1,Hennessey,45,45,BUR,0,0,0,0,1,0.043,0,0,2,0.076
533,4,Richardson,45,45,BUR,0,0,0,0,0,0,0,0,0,0
534,2,Thomas,40,40,BUR,0,0,0,0,0,0,0,0,0,0
565,2,Dodgson,40,40,BUR,0,0,0,0,0,0,0,0,0,0
575,3,Lennon,50,50,BUR,17,0.841,16,0.754,19,1.023,19,0.8,20,0.961
578,3,Cornet,60,60,BUR,0,0,0,0,0,0,0,0,0,0
585,2,Roberts,45,45,BUR,11,0.372,20,0.694,23,1.305,24,0.471,27,1.124
119,2,Azpilicueta,60,60,CHE,49,1.961,53,1.831,51,2.756,48,2.342,52,2.948
120,4,Giroud,65,65,CHE,0,0,0,0,0,0,0,0,0,0
121,2,Thiago Silva,54,54,CHE,62,2.351,63,2.051,60,3.104,66,3.098,58,3.166
122,2,Alonso,57,57,CHE,66,3.242,61,2.552,61,4.17,62,3.73,61,4.425
123,3,Jorginho,59,59,CHE,60,2.139,53,1.842,55,2.359,55,2.192,54,2.413
124,3,Barkley,53,53,CHE,0,0,0,0,0,0,0,0,0,0
125,3,Kovacic,51,51,CHE,35,1.569,38,1.588,37,1.907,31,1.514,34,1.834
126,4,Batshuayi,55,55,CHE,0,0,0,0,0,0,0,0,0,0
127,2,Rüdiger,55,55,CHE,84,3.045,83,2.553,83,4.155,79,3.565,77,4.085
129,1,Arrizabalaga,49,49,CHE,0,0,1,0.038,1,0.047,2,0.089,3,0.145
130,3,Kanté,49,49,CHE,44,1.65,49,1.779,51,2.224,53,2.137,48,2.192
131,3,Ziyech,74,74,CHE,19,1.106,17,0.955,17,1.207,15,0.971,14,1.05
132,3,Loftus-Cheek,54,54,CHE,0,0,0,0,0,0,0,0,0,0
133,2,Christensen,50,50,CHE,47,1.763,45,1.464,49,2.438,46,2.099,51,2.658
134,4,Werner,87,87,CHE,34,1.678,32,1.545,30,1.912,26,1.483,25,1.667
135,2,Chilwell,57,57,CHE,23,1.093,26,1.095,28,1.838,26,1.507,26,1.798
136,4,Abraham,65,65,CHE,0,0,0,0,0,0,0,0,0,0
137,3,Pulisic,79,79,CHE,2,0.121,18,0.934,32,2.277,46,2.878,45,3.362
138,3,Mount,74,74,CHE,71,3.5,68,3.139,66,4.262,62,3.511,65,4.367
139,2,Ampadu,45,45,CHE,0,0,0,0,0,0,0,0,0,0
140,3,Hudson-Odoi,53,53,CHE,14,0.686,15,0.7,17,0.942,17,0.874,16,0.886
141,3,Havertz,83,83,CHE,67,3.601,59,3.026,55,3.905,55,3.439,52,3.89
142,2,James,56,56,CHE,66,3.376,65,2.843,60,4.272,63,3.933,62,4.689
143,1,Mendy,60,60,CHE,89,3.575,88,3.334,88,4.113,87,3.857,86,4.139
501,2,Sarr,49,49,CHE,0,0,0,0,0,0,0,0,0,0
527,2,Chalobah,49,49,CHE,29,1.299,30,1.174,30,1.763,28,1.481,33,2.022
529,4,Lukaku,116,116,CHE,85,5.03,83,4.598,79,6.255,81,5.485,81,6.761
539,2,Emerson,45,45,CHE,0,0,0,0,0,0,0,0,0,0
592,3,Saúl,55,55,CHE,33,1.413,31,1.288,28,1.394,30,1.381,31,1.567
144,3,Gallagher,56,56,CRY,57,1.835,59,2.506,58,2.312,57,1.991,56,2.458
146,1,Guaita,45,45,CRY,90,3.08,88,3.591,87,3.322,88,3.117,87,3.615
147,2,Tomkins,44,44,CRY,0,0,1,0.037,1,0.035,1,0.03,2,0.079
148,3,McArthur,45,45,CRY,75,2.116,75,2.579,73,2.417,72,2.183,71,2.549
149,4,Benteke,64,64,CRY,67,2.786,64,3.739,62,3.423,61,2.83,63,3.837
150,2,Kouyaté,45,45,CRY,56,1.036,61,2.394,62,2.118,59,1.531,63,2.657
151,2,Kelly,40,40,CRY,1,0.026,4,0.156,7,0.258,6,0.187,10,0.424
152,3,Milivojevic,54,54,CRY,18,0.734,18,0.899,17,0.815,21,0.898,21,1.075
153,4,Ayew,59,59,CRY,65,2.234,62,2.715,63,2.632,62,2.303,64,2.904
154,3,Zaha,69,69,CRY,86,3.042,81,4.175,81,3.878,81,3.225,77,4.172
155,3,Schlupp,54,54,CRY,0,0,0,0,0,0,0,0,0,0
156,1,Butland,45,45,CRY,0,0,1,0.041,2,0.077,1,0.036,2,0.084
157,3,Riedewald,49,49,CRY,7,0.304,7,0.326,8,0.366,9,0.394,12,0.644
158,2,Jach,44,44,CRY,0,0,0,0,1,0.044,1,0.038,8,0.327
159,4,Mateta,54,54,CRY,1,0.053,2,0.138,2,0.131,4,0.234,3,0.215
160,3,Eze,59,59,CRY,0,0,0,0,0,0,0,0,0,0
161,2,Ferguson,45,45,CRY,0,0,0,0,0,0,0,0,0,0
162,2,Mitchell,45,45,CRY,88,1.458,86,3.273,84,2.758,83,2.017,80,3.288
386,3,Hughes,49,49,CRY,42,1.352,39,1.513,40,1.488,40,1.376,42,1.663
464,3,Olise,54,54,CRY,34,1.332,37,1.746,39,1.749,40,1.614,37,1.824
474,2,Ward,45,45,CRY,88,1.322,85,2.958,83,2.518,85,1.904,80,2.999
477,2,Guéhi,45,45,CRY,85,1.274,83,2.857,81,2.43,82,1.824,78,2.881
488,2,Andersen,45,45,CRY,86,1.382,84,3.066,81,2.588,81,1.915,80,3.134
493,2,Clyne,44,44,CRY,0,0,2,0.063,3,0.088,4,0.099,0,0
540,2,Hannam,40,40,CRY,0,0,0,0,0,0,0,0,0,0
541,3,Rak-Sakyi,45,45,CRY,0,0,0,0,0,0,0,0,0,0
542,4,Street,45,45,CRY,0,0,0,0,0,0,0,0,0,0
543,3,Banks,45,45,CRY,0,0,0,0,0,0,0,0,0,0
561,1,Matthews,40,40,CRY,0,0,0,0,0,0,0,0,0,0
586,4,Edouard,65,65,CRY,32,1.454,34,1.978,35,1.923,33,1.594,32,1.929
163,3,Delph,44,44,EVE,0,0,0,0,0,0,0,0,0,0
164,3,Sigurdsson,68,68,EVE,0,0,0,0,0,0,0,0,0,0
165,2,Coleman,50,50,EVE,85,2.896,82,3.914,80,1.825,80,2.945,77,3.733
166,3,James,69,69,EVE,16,0.977,25,1.876,30,1.523,24,1.503,21,1.507
167,3,Bernard,55,55,EVE,0,0,0,0,0,0,0,0,0,0
168,2,Digne,54,54,EVE,89,3.418,86,4.689,83,2.045,83,3.474,82,4.459
169,2,Keane,50,50,EVE,87,3.189,85,4.436,83,1.976,81,3.235,80,4.123
170,1,Pickford,50,50,EVE,89,3.455,88,3.899,88,3.078,87,3.488,87,3.872
