id,Pos,Name,BV,SV,Team,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts
1,1,Leno,47,47,ARS,0,0,2,0.07,2,0.091,2,0.073,5,0.204
2,1,Rúnarsson,40,40,ARS,0,0,0,0,0,0,0,0,0,0
3,3,Willian,63,63,ARS,0,0,0,0,0,0,0,0,0,0
4,4,Aubameyang,100,100,ARS,83,6.115,77,3.448,77,5.63,75,3.74,73,4.217
5,2,Cédric,42,42,ARS,3,0.135,7,0.203,7,0.331,8,0.265,11,0.447
6,4,Lacazette,83,83,ARS,19,1.388,24,1.233,24,1.749,23,1.285,25,1.522
7,3,Xhaka,49,49,ARS,0,0,0,0,0,0,0,0,0,0
8,2,Marí,43,43,ARS,0,0,2,0.044,4,0.171,4,0.106,3,0.103
9,2,Bellerín,48,48,ARS,0,0,0,0,0,0,0,0,0,0
10,2,Chambers,42,42,ARS,0,0,0,0,0,0,1,0.034,1,0.04
11,2,Kolasinac,43,43,ARS,0,0,0,0,0,0,0,0,0,0
12,3,Elneny,45,45,ARS,15,0.719,15,0.587,12,0.537,14,0.568,17,0.719
13,3,Maitland-Niles,53,53,ARS,9,0.49,10,0.455,13,0.61,16,0.668,13,0.569
14,2,Holding,42,42,ARS,1,0.052,4,0.119,6,0.278,6,0.189,12,0.434
15,3,Partey,50,50,ARS,84,3.464,79,2.349,79,3.242,76,2.407,77,2.665
16,2,Tierney,49,49,ARS,71,3.582,84,1.788,80,4.018,81,2.217,77,2.962
17,3,Pépé,70,70,ARS,50,3.565,52,2.325,58,4.045,52,2.539,55,3.123
18,3,Torreira,45,45,ARS,0,0,0,0,0,0,0,0,0,0
20,4,Nketiah,54,54,ARS,0,0,0,0,0,0,0,0,2,0.13
21,3,Smith Rowe,57,57,ARS,60,3.684,68,2.563,62,3.63,63,2.638,63,3.018
22,3,Saka,63,63,ARS,72,4.527,73,2.865,68,4.242,67,2.909,67,3.387
23,2,Gabriel,50,50,ARS,88,4.405,86,1.802,84,4.174,83,2.242,81,3.054
24,2,Mavropanos,45,45,ARS,0,0,0,0,0,0,0,0,0,0
25,3,Guendouzi,45,45,ARS,0,0,0,0,0,0,0,0,0,0
26,3,Martinelli,52,52,ARS,16,1.132,20,1.025,21,1.551,26,1.36,25,1.499
27,2,Saliba,45,45,ARS,0,0,0,0,0,0,0,0,0,0
67,2,White,44,44,ARS,89,3.942,86,1.609,83,3.671,84,2.039,80,2.712
466,2,Tavares,43,43,ARS,18,0.897,6,0.187,11,0.534,10,0.344,16,0.664
478,3,Sambi Lokonga,48,48,ARS,48,1.976,45,1.489,45,1.859,45,1.541,48,1.751
530,4,Balogun,48,48,ARS,0,0,0,0,0,0,1,0.058,1,0.068
531,3,Nelson,50,50,ARS,0,0,0,0,0,0,0,0,0,0
532,1,Hein,40,40,ARS,0,0,0,0,0,0,0,0,0,0
558,3,Ødegaard,55,55,ARS,77,3.624,70,2.34,72,3.378,73,2.561,67,2.685
559,1,Ramsdale,47,46,ARS,89,4.011,87,3.023,87,3.914,87,3.138,84,3.407
572,1,Okonkwo,40,40,ARS,0,0,0,0,0,0,0,0,0,0
590,2,Tomiyasu,46,46,ARS,86,4.09,80,1.665,80,3.823,78,2.079,73,2.709
28,1,Steer,40,40,AVL,0,0,0,0,2,0.076,1,0.035,0,0
29,3,Hourihane,49,49,AVL,0,0,0,0,0,0,0,0,0,0
30,1,Martínez,55,55,AVL,89,3.36,89,3.596,87,3.253,88,3.056,89,3.487
31,2,Engels,45,45,AVL,0,0,0,0,0,0,0,0,0,0
32,3,Traoré,57,57,AVL,0,0,0,0,0,0,0,0,0,0
34,3,Sanson,50,50,AVL,20,0.941,23,1.082,22,1.002,22,0.94,26,1.237
35,3,McGinn,58,58,AVL,86,2.894,84,3.038,82,2.714,82,2.445,80,2.837
36,2,Hause,44,44,AVL,79,2.716,45,1.907,44,1.539,47,1.16,48,1.858
37,3,Trézéguet,54,54,AVL,0,0,0,0,0,0,0,0,0,0
38,2,Mings,49,49,AVL,89,2.633,85,3.031,84,2.46,83,1.651,81,2.675
39,2,Targett,47,47,AVL,87,2.858,86,3.386,81,2.642,84,1.841,81,2.981
40,4,Watkins,73,73,AVL,85,3.727,82,3.928,82,3.493,79,2.965,76,3.64
41,3,Nakamba,45,45,AVL,32,1.245,35,1.392,33,1.263,37,1.289,37,1.42
42,3,El Ghazi,57,57,AVL,71,4.133,71,4.574,69,3.917,67,3.194,65,4.138
43,3,Buendía,63,63,AVL,67,3.336,68,3.616,67,3.195,64,2.667,64,3.356
44,2,Cash,51,51,AVL,85,2.799,82,3.25,81,2.63,78,1.771,80,2.925
45,2,Konsa,49,49,AVL,0,0,85,3.033,84,2.46,80,1.626,80,2.65
46,2,Guilbert,45,45,AVL,0,0,0,0,0,0,0,0,0,0
47,4,Wesley,54,54,AVL,0,0,0,0,0,0,0,0,0,0
48,4,Samatta,55,55,AVL,0,0,0,0,0,0,0,0,0,0
49,4,Davis,44,44,AVL,0,0,4,0.253,4,0.235,7,0.378,15,0.912
50,3,Douglas Luiz,46,46,AVL,0,0,0,0,0,0,0,0,0,0
51,3,Ramsey,45,45,AVL,71,2.423,64,2.371,67,2.274,68,2.104,63,2.282
52,2,Young,48,48,AVL,5,0.17,7,0.276,14,0.643,16,0.596,15,0.743
283,2,Tuanzebe,45,45,AVL,78,2.374,33,1.29,39,1.266,38,0.893,36,1.299
337,4,Ings,78,78,AVL,0,0,0,0,0,0,0,0,0,0
492,3,Bailey,64,64,AVL,15,0.837,18,1.056,20,1.051,19,0.944,21,1.18
496,3,Ramsey,45,45,AVL,0,0,0,0,0,0,0,0,0,0
497,3,Philogene-Bidace,50,50,AVL,0,0,0,0,0,0,0,0,0,0
526,3,Chukwuemeka,45,45,AVL,0,0,0,0,0,0,0,0,0,0
568,4,Archer,45,45,AVL,0,0,0,0,0,0,0,0,0,0
596,1,Sinisalo,40,40,AVL,0,0,0,0,0,0,0,0,0,0
610,2,Bogarde,40,40,AVL,0,0,0,0,0,0,0,0,0,0
76,2,Jansson,47,47,BRE,87,3.698,83,2.616,82,2.855,81,2.003,81,2.14
77,3,Nørgaard,50,50,BRE,83,3.106,79,2.594,77,2.619,77,2.317,78,2.391
78,4,Toney,67,65,BRE,85,5.465,81,4.303,83,4.599,79,3.61,77,3.78
79,3,Fosu,51,51,BRE,7,0.407,6,0.316,4,0.213,5,0.249,7,0.363
80,1,Raya,45,45,BRE,0,0,0,0,0,0,0,0,0,0
81,3,Canós,55,55,BRE,77,3.237,75,2.715,70,2.67,72,2.395,71,2.451
82,3,Dasilva,53,53,BRE,0,0,0,0,0,0,0,0,0,0
83,2,Henry,45,45,BRE,87,3.919,81,2.745,80,2.987,84,2.165,79,2.258
84,3,Janelt,50,50,BRE,54,2.252,52,1.939,51,1.956,50,1.74,47,1.697
85,3,Ghoddos,53,53,BRE,7,0.431,8,0.473,8,0.465,6,0.315,8,0.437
86,3,Jensen,49,49,BRE,58,2.478,54,2.067,54,2.124,50,1.795,50,1.846
87,2,Goode,39,39,BRE,4,0.144,10,0.321,11,0.386,16,0.466,13,0.39
88,4,Forss,53,53,BRE,4,0.284,7,0.459,3,0.205,3,0.176,2,0.118
89,2,Roerslev,43,43,BRE,15,0.754,20,0.925,25,1.225,19,0.767,26,1.059
90,2,Sørensen,43,43,BRE,0,0,0,0,0,0,0,0,0,0
91,2,Pinnock,47,47,BRE,87,3.978,85,2.845,82,3.059,81,2.139,81,2.29
92,1,Balcombe,40,40,BRE,0,0,0,0,0,0,0,0,0,0
93,3,Zamburek,45,45,BRE,2,0.093,2,0.088,4,0.183,2,0.085,1,0.043
94,1,Gunnarsson,40,40,BRE,0,0,0,0,0,0,0,0,0,0
95,4,Dervişoğlu,54,54,BRE,0,0,0,0,0,0,0,0,0,0
96,3,Mbeumo,56,55,BRE,85,5.371,80,4.175,81,4.441,77,3.458,78,3.739
97,3,Bidstrup,45,45,BRE,2,0.092,3,0.133,2,0.088,2,0.085,5,0.224
479,3,Onyeka,49,49,BRE,56,2.328,55,2.037,51,1.965,46,1.644,49,1.766
483,2,Ajer,45,45,BRE,0,0,0,0,0,0,0,0,0,0
498,2,Thompson,44,44,BRE,0,0,0,0,0,0,5,0.162,1,0.033
499,3,Baptiste,49,49,BRE,0,0,10,0.434,22,0.953,30,1.186,25,1.048
524,3,Wissa,59,59,BRE,0,0,8,0.434,11,0.637,20,1.067,25,1.346
556,1,Fernández,45,45,BRE,90,3.896,88,3.403,87,3.505,87,3.109,88,3.205
569,2,Stevens,40,40,BRE,0,0,0,0,0,0,0,0,0,0
594,2,Zanka,45,45,BRE,89,4.368,84,3.009,84,3.32,84,2.299,81,2.425
