id,Pos,Name,BV,SV,Team,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts
1,1,Leno,49,49,ARS,89,3.075,88,3.974,88,3.636,87,3.463,85,3.424
2,1,Rúnarsson,40,40,ARS,0,0,1,0.046,1,0.042,2,0.081,3,0.122
3,3,Willian,63,63,ARS,0,0,1,0.051,2,0.093,2,0.09,2,0.089
4,4,Aubameyang,99,99,ARS,77,3.175,70,4.854,72,4.167,71,4.025,70,3.835
5,2,Cédric,44,44,ARS,59,1.211,48,2.471,45,1.905,44,1.729,49,1.88
6,4,Lacazette,84,84,ARS,46,2.008,42,2.971,42,2.521,40,2.379,44,2.494
7,3,Xhaka,50,50,ARS,86,2.275,81,3,77,2.603,76,2.527,77,2.524
8,2,Marí,45,45,ARS,73,1.427,45,2.256,46,1.875,45,1.707,47,1.756
9,2,Bellerín,48,48,ARS,12,0.283,27,1.451,28,1.237,28,1.147,27,1.102
10,2,Chambers,44,44,ARS,8,0.179,7,0.345,5,0.203,7,0.264,5,0.187
11,2,Kolasinac,44,44,ARS,0,0,1,0.049,1,0.04,3,0.112,2,0.075
12,3,Elneny,45,45,ARS,0,0,1,0.032,1,0.029,0,0,0,0
13,3,Maitland-Niles,54,54,ARS,1,0.03,1,0.039,1,0.035,0,0,0,0
14,2,Holding,44,44,ARS,58,1.15,29,1.489,28,1.183,30,1.18,29,1.132
15,3,Partey,50,50,ARS,0,0,28,1.086,51,1.787,70,2.399,70,2.374
16,2,Tierney,49,49,ARS,86,1.762,83,4.404,81,3.462,82,3.207,80,3.129
17,3,Pépé,73,73,ARS,50,2.148,46,3.298,45,2.736,48,2.792,48,2.712
18,3,Torreira,45,45,ARS,0,0,0,0,0,0,0,0,0,0
20,4,Nketiah,55,55,ARS,0,0,0,0,0,0,0,0,1,0.052
21,3,Smith Rowe,54,54,ARS,42,1.688,33,2.073,33,1.807,35,1.853,34,1.768
22,3,Saka,63,63,ARS,54,2.134,65,4.25,63,3.469,64,3.392,59,3.079
23,2,Gabriel,50,50,ARS,24,0.517,32,1.713,26,1.136,27,1.097,28,1.131
24,2,Mavropanos,45,45,ARS,0,0,0,0,0,0,0,0,0,0
25,3,Guendouzi,45,45,ARS,0,0,0,0,0,0,0,0,0,0
26,3,Martinelli,54,54,ARS,31,1.381,32,2.145,34,1.961,29,1.661,33,1.813
27,2,Saliba,45,45,ARS,0,0,0,0,0,0,0,0,0,0
67,2,White,44,44,ARS,22,0.394,73,3.48,79,3.046,75,2.682,74,2.626
466,2,Tavares,45,45,ARS,16,0.365,15,0.756,20,0.859,16,0.623,16,0.622
478,3,Sambi Lokonga,50,50,ARS,87,2.318,61,2.441,43,1.67,29,1.199,28,1.152
530,4,Balogun,50,50,ARS,3,0.128,3,0.199,2,0.111,3,0.166,3,0.166
531,3,Nelson,50,50,ARS,5,0.192,4,0.219,3,0.139,4,0.186,4,0.183
532,1,Hein,40,40,ARS,0,0,0,0,0,0,0,0,0,0
558,3,Ødegaard,55,55,ARS,45,1.672,58,3.377,57,2.864,58,2.823,57,2.734
559,1,Ramsdale,45,45,ARS,0,0,0,0,0,0,0,0,0,0
28,1,Steer,40,40,AVL,0,0,0,0,1,0.041,2,0.07,2,0.072
29,3,Hourihane,49,49,AVL,0,0,0,0,0,0,0,0,0,0
30,1,Martínez,55,55,AVL,90,3.764,89,3.061,88,3.529,87,3.014,87,3.076
31,2,Engels,45,45,AVL,0,0,0,0,0,0,0,0,0,0
32,3,Traoré,59,59,AVL,0,0,9,0.413,16,0.914,20,0.914,20,0.96
34,3,Sanson,50,50,AVL,6,0.287,21,0.881,22,1.089,21,0.875,21,0.929
35,3,McGinn,60,60,AVL,83,3.257,76,2.324,74,2.766,74,2.31,75,2.427
36,2,Hause,44,44,AVL,0,0,2,0.044,3,0.11,5,0.111,6,0.157
37,3,Trézéguet,55,55,AVL,0,0,0,0,0,0,0,0,0,0
38,2,Mings,50,50,AVL,89,3.743,85,1.697,85,3.164,83,1.712,82,2.078
39,2,Targett,49,49,AVL,88,3.575,85,1.65,82,2.979,83,1.66,82,2.019
40,4,Watkins,73,73,AVL,55,2.779,66,2.463,61,2.98,52,2.066,54,2.244
