rank,prev_rank,name,league,off,def,spi
197,199,Sporting de Charleroi,Belgian Jupiler League,1.52,1.48,46.79
198,200,Middlesbrough,English League Championship,1.23,1.18,46.74
199,201,Velez Sarsfield,Argentina Primera Division,1.15,1.09,46.64
200,202,Rosenborg,Norwegian Tippeligaen,1.54,1.52,46.57
201,203,Silkeborg,Danish SAS-Ligaen,1.48,1.47,46.4
202,204,Bordeaux,French Ligue 1,1.5,1.48,46.25
203,186,Fortaleza,Brasileiro Série A,1.16,1.13,46.24
204,205,Monza,Italy Serie B,1.37,1.36,46.02
205,206,Puebla,Mexican Primera Division Torneo Clausura,1.36,1.35,45.96
206,207,Preston North End,English League Championship,1.26,1.25,45.95
207,208,León,Mexican Primera Division Torneo Clausura,1.36,1.36,45.94
208,209,St. Truidense,Belgian Jupiler League,1.24,1.23,45.9
209,210,Anorthosis Famagusta,UEFA Europa Conference League,1.27,1.26,45.86
210,211,Galatasaray,Turkish Turkcell Super Lig,1.36,1.36,45.85
211,212,Antalyaspor,Turkish Turkcell Super Lig,1.37,1.38,45.77
212,213,Alanyaspor,Turkish Turkcell Super Lig,1.56,1.58,45.73
213,214,FK Qarabag,UEFA Europa Conference League,1.4,1.4,45.72
214,215,Krylia Sovetov,Russian Premier Liga,1.27,1.27,45.69
215,216,Boavista,Portuguese Liga,1.23,1.22,45.62
216,217,Stoke City,English League Championship,1.16,1.15,45.6
217,194,New York Red Bulls,Major League Soccer,1.35,1.36,45.55
218,218,AEK Athens,Greek Super League,1.34,1.35,45.47
219,219,SV Darmstadt 98,German 2. Bundesliga,1.56,1.59,45.39
220,220,Kashima Antlers,Japanese J League,1.47,1.5,45.29
221,222,Millwall,English League Championship,1.24,1.25,45.27
222,221,New England Revolution,Major League Soccer,1.54,1.58,45.26
223,223,NEC,Dutch Eredivisie,1.42,1.46,45.12
224,224,Konyaspor,Turkish Turkcell Super Lig,1.47,1.52,45.09
225,225,Terek Grozny,Russian Premier Liga,1.14,1.15,45.08
226,226,Portimonense,Portuguese Liga,1.16,1.18,44.74
227,228,Luton Town,English League Championship,1.17,1.2,44.59
228,229,Vizela,Portuguese Liga,1.3,1.35,44.58
229,230,Maritimo,Portuguese Liga,1.18,1.22,44.54
230,231,FC Dallas,Major League Soccer,1.41,1.47,44.5
231,232,Rostov,Russian Premier Liga,1.39,1.46,44.31
232,233,Atlético San Luis,Mexican Primera Division Torneo Clausura,1.36,1.42,44.31
233,234,CSKA Sofia,UEFA Europa Conference League,1.12,1.17,44.21
234,235,Moreirense,Portuguese Liga,1.15,1.2,44.16
235,236,Huddersfield Town,English League Championship,1.13,1.18,44.13
236,237,FC Groningen,Dutch Eredivisie,1.38,1.46,44.09
237,238,Viking FK,Norwegian Tippeligaen,1.51,1.61,44.08
238,239,Cercle Brugge,Belgian Jupiler League,1.35,1.43,44.05
239,240,Aris Salonika,Greek Super League,1.02,1.07,44.01
240,241,Columbus Crew,Major League Soccer,1.38,1.47,43.78
241,242,Blackburn,English League Championship,1.11,1.18,43.69
242,262,Atlético Goianiense,Brasileiro Série A,1.15,1.22,43.69
243,243,Lillestrom,Norwegian Tippeligaen,1.39,1.49,43.65
244,244,Estudiantes,Argentina Primera Division,1.25,1.34,43.62
245,245,Heracles,Dutch Eredivisie,1.31,1.41,43.57
246,246,Blackpool,English League Championship,1.23,1.33,43.45
247,247,Pumas Unam,Mexican Primera Division Torneo Clausura,1.18,1.27,43.34
248,249,Nashville SC,Major League Soccer,1.24,1.34,43.27
249,248,CFR 1907 Cluj,UEFA Europa Conference League,1.26,1.37,43.25
250,227,Coritiba,Brasileiro Série A,1.25,1.35,43.24
251,250,Wolfsberger AC,Austrian T-Mobile Bundesliga,1.46,1.61,42.97
252,251,Argentinos Juniors,Argentina Primera Division,1.07,1.16,42.97
253,252,FC Arouca,Portuguese Liga,1.13,1.23,42.95
254,253,Almeria,Spanish Segunda Division,1.19,1.3,42.93
255,254,Los Angeles Galaxy,Major League Soccer,1.36,1.49,42.87
256,255,Estoril Praia,Portuguese Liga,1.16,1.27,42.76
257,256,Brondby,Danish SAS-Ligaen,1.24,1.36,42.67
258,257,Guangzhou Evergrande,Chinese Super League,1.43,1.59,42.61
259,258,Mazatlán FC,Mexican Primera Division Torneo Clausura,1.2,1.32,42.6
260,259,Atlanta United FC,Major League Soccer,1.4,1.55,42.6
261,260,Omonia Nicosia,UEFA Europa Conference League,1.32,1.47,42.46
262,261,Hearts,Scottish Premiership,1.28,1.44,42.27
263,288,Seattle Sounders FC,Major League Soccer,1.34,1.5,42.24
264,263,PEC Zwolle,Dutch Eredivisie,1.31,1.47,42.13
265,265,Adana Demirspor,Turkish Turkcell Super Lig,1.3,1.47,42.0
266,266,Pacos Ferreira,Portuguese Liga,1.08,1.22,41.95
267,267,Sivasspor,Turkish Turkcell Super Lig,1.3,1.47,41.94
268,268,Urawa Red Diamonds,Japanese J League,1.08,1.22,41.89
269,269,F.B.C Unione Venezia,Italy Serie A,1.41,1.6,41.89
270,264,Botafogo,Brasileiro Série A,1.13,1.28,41.87
271,271,Ludogorets,UEFA Europa League,1.29,1.46,41.74
272,272,Talleres de Córdoba,Argentina Primera Division,1.15,1.3,41.74
273,273,Real Valladolid,Spanish Segunda Division,1.24,1.41,41.72
274,274,Union Santa Fe,Argentina Primera Division,1.04,1.19,41.6
275,275,Cardiff City,English League Championship,1.06,1.21,41.5
276,276,Lanus,Argentina Primera Division,1.36,1.57,41.35
277,277,Necaxa,Mexican Primera Division Torneo Clausura,1.12,1.3,41.22
278,278,Metz,French Ligue 1,1.15,1.33,41.2
279,279,Ural Sverdlovsk Oblast,Russian Premier Liga,1.0,1.16,41.11
280,280,Queens Park Rangers,English League Championship,1.16,1.35,41.06
281,281,Colorado Rapids,Major League Soccer,1.23,1.43,41.05
282,282,Lecce,Italy Serie B,1.1,1.28,41.0
283,283,Querétaro,Mexican Primera Division Torneo Clausura,1.13,1.32,41.0
284,310,Avaí,Brasileiro Série A,1.18,1.38,40.98
285,284,Cerezo Osaka,Japanese J League,1.19,1.39,40.98
286,285,Hammarby,Swedish Allsvenskan,1.4,1.64,40.98
287,286,CA Independiente,Argentina Primera Division,1.02,1.19,40.97
288,287,RKC,Dutch Eredivisie,1.32,1.55,40.92
289,289,Djurgardens IF,Swedish Allsvenskan,1.26,1.48,40.75
290,290,Auxerre,French Ligue 2,1.19,1.4,40.72
291,291,Sparta,Dutch Eredivisie,1.21,1.43,40.68
292,292,Malmo FF,Swedish Allsvenskan,1.17,1.38,40.59
293,293,Slovan Bratislava,UEFA Europa Conference League,1.16,1.37,40.52
294,295,Montreal Impact,Major League Soccer,1.34,1.6,40.22
295,296,Benevento,Italy Serie B,1.14,1.36,40.2
296,297,Banfield,Argentina Primera Division,1.01,1.22,40.1
297,270,Juventude,Brasileiro Série A,1.03,1.24,40.06
298,299,Huracán,Argentina Primera Division,1.02,1.24,40.05
299,294,Girona FC,Spanish Segunda Division,1.0,1.21,39.94
300,300,Minnesota United FC,Major League Soccer,1.29,1.57,39.8
301,301,Cuiaba,Brasileiro Série A,1.03,1.26,39.63
302,302,Go Ahead Eagles,Dutch Eredivisie,1.23,1.51,39.52
303,303,Bristol City,English League Championship,1.28,1.57,39.49
304,304,AaB,Danish SAS-Ligaen,1.33,1.62,39.45
305,305,Sanfrecce Hiroshima,Japanese J League,1.08,1.33,39.43
306,306,KV Mechelen,Belgian Jupiler League,1.45,1.77,39.4
307,307,FC Luzern,Swiss Raiffeisen Super League,1.42,1.74,39.29
308,308,FC Khimki,Russian Premier Liga,1.14,1.41,39.27
309,309,Willem II,Dutch Eredivisie,1.21,1.5,39.14
310,311,Derby County,English League Championship,1.01,1.27,39.04
311,298,Goiás,Brasileiro Série A,1.13,1.41,39.03
312,312,Beijing Guoan,Chinese Super League,1.33,1.64,39.02
313,313,Fortuna Düsseldorf,German 2. Bundesliga,1.14,1.43,38.95
314,314,Paris FC,French Ligue 2,1.08,1.36,38.84
315,315,Parma,Italy Serie B,1.08,1.36,38.77
316,316,Brescia,Italy Serie B,1.08,1.36,38.73
317,317,Real Salt Lake,Major League Soccer,1.19,1.5,38.73
318,318,Tijuana,Mexican Primera Division Torneo Clausura,1.17,1.48,38.71
319,319,Shanghai SIPG,Chinese Super League,1.25,1.57,38.6
320,320,Austin FC,Major League Soccer,1.35,1.7,38.58
321,321,FC Zorya Luhansk,UEFA Europa Conference League,1.1,1.41,38.34
322,322,IF Elfsborg,Swedish Allsvenskan,1.32,1.68,38.34
323,323,Central Córdoba Santiago del Estero,Argentina Primera Division,1.05,1.35,38.26
324,324,Swansea City,English League Championship,1.21,1.56,38.09
325,325,Vissel Kobe,Japanese J League,1.16,1.49,38.08
326,331,Orlando City SC,Major League Soccer,1.22,1.57,38.05
327,326,Randers FC,Danish SAS-Ligaen,1.14,1.47,37.98
328,327,Portland Timbers,Major League Soccer,1.31,1.68,37.94
329,328,Fatih Karagümrük,Turkish Turkcell Super Lig,1.13,1.46,37.85
330,329,Guingamp,French Ligue 2,1.18,1.53,37.77
331,330,Chicago Fire,Major League Soccer,1.2,1.56,37.73
332,332,Hartberg,Austrian T-Mobile Bundesliga,1.23,1.6,37.59
333,333,Birmingham,English League Championship,1.14,1.5,37.36
334,334,SC Paderborn,German 2. Bundesliga,1.25,1.64,37.29
335,335,WSG Swarovski Wattens,Austrian T-Mobile Bundesliga,1.4,1.82,37.28
336,336,Rosario Central,Argentina Primera Division,1.23,1.61,37.25
337,337,Kairat Almaty,UEFA Europa Conference League,1.17,1.55,37.23
338,338,Frosinone,Italy Serie B,1.19,1.58,37.06
339,339,AIK,Swedish Allsvenskan,1.13,1.51,36.97
340,340,Racing Club,Argentina Primera Division,0.95,1.29,36.96
341,341,FC Tokyo,Japanese J League,1.02,1.38,36.89
342,342,Sochaux,French Ligue 2,0.95,1.29,36.8
343,343,OH Leuven,Belgian Jupiler League,1.34,1.78,36.73
344,344,Belenenses,Portuguese Liga,1.0,1.36,36.69
345,345,Livingston,Scottish Premiership,1.05,1.43,36.64
346,346,Gazisehir Gaziantep,Turkish Turkcell Super Lig,1.17,1.58,36.61
347,347,Flora,UEFA Europa Conference League,1.34,1.78,36.57
348,348,Cambuur Leeuwarden,Dutch Eredivisie,1.4,1.86,36.49
349,349,KV Kortrijk,Belgian Jupiler League,1.19,1.61,36.44
350,350,FC St. Pauli,German 2. Bundesliga,1.29,1.73,36.42
351,351,Nagoya Grampus Eight,Japanese J League,0.91,1.26,36.37
352,352,Hatayspor,Turkish Turkcell Super Lig,1.29,1.74,36.33
353,354,Newell's Old Boys,Argentina Primera Division,0.99,1.37,36.06
354,355,Toluca,Mexican Primera Division Torneo Clausura,1.21,1.66,35.94
355,356,Fortuna Sittard,Dutch Eredivisie,1.29,1.76,35.92
356,353,San Jose Earthquakes,Major League Soccer,1.33,1.81,35.9
357,357,Caen,French Ligue 2,1.07,1.48,35.86
358,358,Godoy Cruz,Argentina Primera Division,1.07,1.49,35.85
359,359,Viborg,Danish SAS-Ligaen,1.12,1.56,35.84
360,360,Gimnasia La Plata,Argentina Primera Division,0.94,1.33,35.84
361,361,FC Ufa,Russian Premier Liga,0.89,1.26,35.84
362,362,Kayserispor,Turkish Turkcell Super Lig,1.23,1.7,35.67
363,363,Hull City,English League Championship,0.96,1.36,35.67
364,364,Ascoli,Italy Serie B,0.93,1.33,35.62
365,365,Odense BK,Danish SAS-Ligaen,1.13,1.58,35.58
366,366,BK Hacken,Swedish Allsvenskan,1.36,1.86,35.54
367,367,Cremonese,Italy Serie B,1.07,1.51,35.52
368,368,Las Palmas,Spanish Segunda Division,0.95,1.35,35.52
369,369,Dijon FCO,French Ligue 2,1.16,1.62,35.45
370,370,SK Austria Klagenfurt,Austrian T-Mobile Bundesliga,1.2,1.68,35.39
371,371,Hibernian,Scottish Premiership,0.93,1.33,35.3
372,372,Stromsgodset,Norwegian Tippeligaen,1.24,1.74,35.19
373,373,Eibar,Spanish Segunda Division,0.95,1.37,35.14
374,374,Real Oviedo,Spanish Segunda Division,0.93,1.34,35.11
375,375,Tondela,Portuguese Liga,1.08,1.54,35.11
376,376,San Lorenzo,Argentina Primera Division,0.95,1.38,35.02
377,378,Ionikos FC,Greek Super League,1.08,1.55,34.99
378,379,Holstein Kiel,German 2. Bundesliga,1.21,1.71,34.85
379,380,1. FC Heidenheim 1846,German 2. Bundesliga,1.12,1.61,34.8
380,381,FC Nordsjaelland,Danish SAS-Ligaen,1.14,1.63,34.78
381,377,Tenerife,Spanish Segunda Division,0.85,1.26,34.74
382,382,FC Cartagena,Spanish Segunda Division,1.09,1.58,34.53
383,383,Aberdeen,Scottish Premiership,0.95,1.4,34.53
384,385,Kashiwa Reysol,Japanese J League,1.04,1.53,34.44
385,386,Standard Liege,Belgian Jupiler League,1.01,1.49,34.41
386,387,Sagan Tosu,Japanese J League,0.98,1.46,34.24
387,388,Dundee Utd,Scottish Premiership,0.94,1.41,34.18
388,389,Reading,English League Championship,1.12,1.64,34.17
389,390,Karlsruher SC,German 2. Bundesliga,1.26,1.81,34.16
390,391,AC Ajaccio,French Ligue 2,0.69,1.06,34.16
391,392,Hansa Rostock,German 2. Bundesliga,1.08,1.59,34.14
392,393,DC United,Major League Soccer,1.15,1.69,34.05
393,394,Colon Santa Fe,Argentina Primera Division,0.92,1.39,33.95
394,395,Perugia,Italy Serie B,0.83,1.28,33.87
395,384,Sporting Kansas City,Major League Soccer,1.06,1.58,33.86
396,396,FC Juárez,Mexican Primera Division Torneo Clausura,0.92,1.4,33.81
397,397,Sarpsborg,Norwegian Tippeligaen,1.14,1.69,33.81
398,398,FC Lugano,Swiss Raiffeisen Super League,1.13,1.69,33.64
399,399,Melbourne City,Australian A-League,1.18,1.76,33.54
400,400,Sheffield Wednesday,English League One,1.12,1.68,33.52
401,401,FK Nizhny Novgorod,Russian Premier Liga,0.82,1.27,33.52
402,402,Jablonec,UEFA Europa Conference League,1.09,1.64,33.5
403,403,Platense,Argentina Primera Division,1.01,1.54,33.47
404,404,Amiens,French Ligue 2,0.85,1.33,33.42
405,405,Real Zaragoza,Spanish Segunda Division,0.9,1.4,33.35
406,406,Rubin Kazan,Russian Premier Liga,1.07,1.62,33.27
407,407,NS Mura,UEFA Europa Conference League,1.09,1.66,33.24
408,408,Mirandes,Spanish Segunda Division,1.01,1.54,33.21
409,409,Ternana,Italy Serie B,1.23,1.83,33.11
410,410,Pisa,Italy Serie B,0.91,1.42,33.09
411,411,SD Huesca,Spanish Segunda Division,0.91,1.42,32.99
412,413,Grasshoppers Zürich,Swiss Raiffeisen Super League,1.16,1.76,32.89
413,414,Valerenga,Norwegian Tippeligaen,1.09,1.67,32.86
414,415,IFK Norrkoping,Swedish Allsvenskan,1.14,1.75,32.77
415,416,Leganes,Spanish Segunda Division,0.9,1.42,32.74
