id,first_name,second_name,team,Top_100,Top_1K,Top_10K,Top_100K,Top_1M,Overall
1,Mesut,Özil,1,0.0,0.0,0.0,0.0,0.0,0.6006006006006006
2,Sokratis,Papastathopoulos,1,0.0,0.0,0.0,0.0,0.0,0.3003003003003003
3,David,Luiz Moreira Marinho,1,0.0,0.0,0.0,0.0,0.2597402597402597,0.6006006006006006
4,Pierre-Emerick,Aubameyang,1,0.0,0.0,0.0,0.0,0.2597402597402597,5.8558558558558556
5,Cédric,Soares,1,0.0,0.0,0.2702702702702703,1.0443864229765014,0.0,0.15015015015015015
6,Alexandre,Lacazette,1,0.0,1.7985611510791366,0.5405405405405406,2.088772845953003,2.0779220779220777,4.504504504504505
7,Shkodran,Mustafi,1,0.0,0.0,0.0,0.0,0.0,0.0
8,Bernd,Leno,1,5.0,11.151079136690647,5.405405405405405,6.7885117493472595,5.454545454545454,6.906906906906906
9,Granit,Xhaka,1,0.0,0.0,0.0,0.0,0.0,0.3003003003003003
10,Pablo,Marí,1,0.0,0.0,0.0,0.0,0.0,0.0
11,Héctor,Bellerín,1,0.0,0.0,0.0,0.26109660574412535,0.5194805194805194,3.303303303303303
13,Calum,Chambers,1,0.0,0.0,0.2702702702702703,0.0,0.5194805194805194,0.15015015015015015
14,Sead,Kolasinac,1,0.0,0.0,0.0,0.0,0.0,0.3003003003003003
16,Rob,Holding,1,43.75,33.093525179856115,33.24324324324324,22.193211488250654,11.948051948051948,4.354354354354354
17,Kieran,Tierney,1,0.0,0.0,0.0,0.0,0.0,2.7027027027027026
18,Nicolas,Pépé,1,0.0,0.3597122302158274,0.0,0.26109660574412535,0.7792207792207793,1.0510510510510511
19,Lucas,Torreira,1,0.0,0.0,0.0,0.0,0.0,0.15015015015015015
21,Reiss,Nelson,1,0.0,0.0,0.0,0.0,0.0,0.0
22,Edward,Nketiah,1,0.0,0.0,0.2702702702702703,0.0,0.2597402597402597,0.6006006006006006
23,Emile,Smith Rowe,1,6.25,8.633093525179856,6.216216216216217,6.266318537859007,3.896103896103896,2.8528528528528527
24,Bukayo,Saka,1,3.75,7.194244604316546,4.864864864864865,8.87728459530026,8.571428571428571,9.60960960960961
25,Matteo,Guendouzi,1,0.0,0.0,0.0,0.0,0.0,0.0
26,Gabriel Teodoro,Martinelli Silva,1,0.0,0.3597122302158274,0.0,0.0,0.0,0.0
27,William,Saliba,1,0.0,0.0,0.0,0.0,0.0,0.7507507507507507
70,Mathew,Ryan,1,0.0,0.7194244604316548,0.2702702702702703,0.26109660574412535,1.0389610389610389,8.108108108108109
478,Willian,Borges Da Silva,1,0.0,0.0,0.0,0.0,0.0,3.153153153153153
494,Gabriel,Magalhães,1,0.0,0.0,0.0,0.0,1.0389610389610389,4.2042042042042045
501,Daniel,Ceballos Fernández,1,0.0,0.0,0.2702702702702703,0.26109660574412535,0.2597402597402597,0.6006006006006006
526,Mohamed Naser,El Sayed Elneny,1,0.0,0.0,0.0,0.26109660574412535,0.0,0.45045045045045046
527,Matt,Macey,1,0.0,0.0,0.2702702702702703,0.0,0.0,1.0510510510510511
547,Rúnar Alex,Rúnarsson,1,0.0,0.0,0.0,0.0,0.0,0.15015015015015015
567,Thomas,Partey,1,0.0,0.0,0.0,0.0,0.0,0.3003003003003003
645,Martin,Ødegaard,1,0.0,0.0,0.0,0.26109660574412535,1.0389610389610389,0.45045045045045046
689,Miguel,Azeez,1,0.0,0.0,0.0,0.0,0.0,0.0
12,Emiliano,Martínez,2,37.5,44.24460431654676,50.54054054054053,51.174934725848566,66.49350649350649,40.090090090090094
28,Tom,Heaton,2,0.0,0.0,0.0,0.0,0.0,0.0
29,Ahmed,El Mohamady,2,0.0,0.0,0.0,0.0,0.2597402597402597,0.3003003003003003
30,Henri,Lansbury,2,0.0,0.0,0.0,0.0,0.0,0.15015015015015015
31,Neil,Taylor,2,0.0,0.0,0.0,0.0,0.0,0.15015015015015015
32,Jed,Steer,2,0.0,1.4388489208633095,1.891891891891892,2.3498694516971277,3.896103896103896,4.504504504504505
33,Conor,Hourihane,2,0.0,0.0,0.0,0.0,0.0,0.15015015015015015
34,José Ignacio,Peleteiro Romallo,2,0.0,0.0,0.0,0.0,0.0,0.0
35,Ørjan,Nyland,2,0.0,0.3597122302158274,0.2702702702702703,0.0,0.7792207792207793,4.354354354354354
36,Bjorn,Engels,2,0.0,0.0,0.0,0.0,0.0,0.0
37,Jack,Grealish,2,0.0,0.0,0.0,0.0,0.5194805194805194,13.213213213213212
38,John,McGinn,2,1.25,0.3597122302158274,0.2702702702702703,0.26109660574412535,0.5194805194805194,0.7507507507507507
39,Kortney,Hause,2,0.0,0.0,0.0,0.0,0.0,0.0
40,Mahmoud Ahmed,Ibrahim Hassan,2,0.0,0.0,0.0,0.0,0.0,0.15015015015015015
41,Tyrone,Mings,2,0.0,0.0,0.0,0.26109660574412535,1.8181818181818181,11.26126126126126
42,Matt,Targett,2,10.0,10.071942446043165,11.351351351351353,18.27676240208877,21.298701298701296,16.366366366366368
43,James,Bree,2,0.0,0.0,0.0,0.0,0.0,0.0
44,Marvelous,Nakamba,2,0.0,0.0,0.0,0.0,0.0,0.6006006006006006
45,Anwar,El Ghazi,2,0.0,0.0,0.2702702702702703,0.26109660574412535,0.2597402597402597,0.9009009009009009
46,Ezri,Konsa Ngoyo,2,7.5,10.071942446043165,7.837837837837839,7.310704960835509,6.493506493506493,6.306306306306306
47,Frédéric,Guilbert,2,0.0,0.0,0.0,0.0,0.0,0.0
48,Wesley,Moraes,2,0.0,0.0,0.0,0.0,0.0,0.0
49,Mbwana,Samatta,2,0.0,0.0,0.0,0.0,0.0,0.15015015015015015
50,Keinan,Davis,2,17.5,11.870503597122301,10.27027027027027,8.093994778067886,3.6363636363636362,7.657657657657657
51,Indiana,Vassilev,2,0.0,0.0,0.0,0.0,0.0,0.3003003003003003
52,Douglas Luiz,Soares de Paulo,2,0.0,0.0,0.0,0.0,0.2597402597402597,0.45045045045045046
106,Ross,Barkley,2,0.0,0.0,0.0,0.0,0.0,1.0510510510510511
496,Matthew,Cash,2,0.0,0.0,0.0,0.0,0.5194805194805194,0.6006006006006006
514,Ollie,Watkins,2,30.0,28.05755395683453,31.62162162162162,28.459530026109658,39.22077922077922,24.774774774774773
540,Bertrand,Traoré,2,0.0,0.3597122302158274,0.2702702702702703,0.5221932114882507,0.2597402597402597,0.15015015015015015
554,Jacob,Ramsey,2,0.0,0.0,0.0,0.0,0.0,0.15015015015015015
647,Morgan,Sanson,2,0.0,0.0,0.0,0.0,0.0,0.0
671,Kaine,Hayden,2,0.0,0.0,0.0,0.0,0.0,0.0
672,Carney,Chukwuemeka,2,0.0,0.0,0.0,0.0,0.0,0.0
683,Jaden,Philogene-Bidace,2,0.0,0.0,0.0,0.0,0.0,0.0
53,Glenn,Murray,3,0.0,0.0,0.0,0.0,0.0,0.15015015015015015
54,Adam,Lallana,3,0.0,0.0,0.0,0.0,0.0,0.3003003003003003
57,Pascal,Groß,3,0.0,0.0,0.0,0.0,0.2597402597402597,0.15015015015015015
58,Shane,Duffy,3,0.0,0.0,0.0,0.0,0.0,0.15015015015015015
59,Davy,Pröpper,3,0.0,0.0,0.0,0.0,0.0,0.0
60,Aaron,Mooy,3,0.0,0.0,0.0,0.0,0.0,0.0
61,Dan,Burn,3,1.25,1.4388489208633095,1.6216216216216217,1.3054830287206265,1.2987012987012987,0.6006006006006006
