id,first_name,second_name,team
1,David,Raya Martín,1
2,Kepa,Arrizabalaga Revuelta,1
3,Karl,Hein,1
4,Tommy,Setford,1
5,Gabriel,dos Santos Magalhães,1
6,William,Saliba,1
7,Riccardo,Calafiori,1
8,Jurriën,Timber,1
9,Jakub,Kiwior,1
10,Myles,Lewis-Skelly,1
11,Benjamin,White,1
13,Brayden,Clarke,1
14,Maldini,Kacurri,1
15,Josh,Nichols,1
16,Bukayo,Saka,1
17,Martin,Ødegaard,1
18,Noni,Madueke,1
19,Gabriel,Martinelli Silva,1
20,Leandro,Trossard,1
21,Declan,Rice,1
22,Mikel,Merino Zazón,1
23,Fábio,Ferreira Vieira,1
24,Christian,Nørgaard,1
25,Ethan,Nwaneri,1
26,Martín,Zubimendi Ibáñez,1
28,Ismeal,Kabia,1
29,Albert,Sambi Lokonga,1
30,Kai,Havertz,1
31,Gabriel,Fernando de Jesus,1
266,Eberechi,Eze,1
662,Cristhian,Mosquera,1
666,Viktor,Gyökeres,1
700,Max,Dowman,1
711,Andre,Harriman-Annous,1
725,Piero,Hincapié,1
759,Marli,Salmon,1
32,Emiliano,Martínez Romero,2
33,Marco,Bizot,2
34,Joe,Gauci,2
35,Filip,Marschall,2
36,Matty,Cash,2
37,Lucas,Digne,2
38,Ezri,Konsa Ngoyo,2
39,Ian,Maatsen,2
40,Tyrone,Mings,2
41,Pau,Torres,2
42,Andrés,García,2
43,Álex,Moreno Lopera,2
44,Lamare,Bogarde,2
45,Lino,da Cruz Sousa,2
46,Yasin,Özcan,2
47,Morgan,Rogers,2
48,Youri,Tielemans,2
49,Leon,Bailey,2
50,Emiliano,Buendía Stati,2
51,Samuel,Iling-Junior,2
53,Donyell,Malen,2
54,John,McGinn,2
55,Ross,Barkley,2
56,Enzo,Barrenechea,2
57,Lewis,Dobbin,2
58,Boubacar,Kamara,2
59,Amadou,Onana,2
60,Ben,Broggio,2
61,Leander,Dendoncker,2
62,Jamaldeen,Jimoh-Aloba,2
63,Kadan,Young,2
64,Ollie,Watkins,2
65,Zépiqueno,Redmond,2
389,Harvey,Elliott,2
456,Jadon,Sancho,2
677,Evann,Guessand,2
688,James,Wright,2
701,Triston,Rowe,2
702,Bradley,Burrowes,2
703,Sam,Proctor,2
710,Travis,Patterson,2
719,Victor,Lindelöf,2
754,George,Hemmings,2
757,Ronnie,Hollingshead,2
768,Leon,Routh,2
781,TJ,Carroll,2
183,Max,Weiß,3
184,Etienne,Green,3
185,Václav,Hladký,3
186,Connor,Roberts,3
187,Kyle,Walker,3
188,Hannes,Delcroix,3
189,Owen,Dodgson,3
190,Hjalmar,Ekdal,3
191,Maxime,Estève,3
192,Quilindschy,Hartman,3
193,Bashir,Humphreys,3
194,Jordan,Beyer,3
195,Lucas,Pires Silva,3
196,Shurandy,Sambo,3
197,Oliver,Sonne,3
198,Axel,Tuanzebe,3
199,Joe,Worrall,3
200,Jaidon,Anthony,3
201,Manuel,Benson Hedilazio,3
202,Jacob,Bruun Larsen,3
203,Enock,Agyei,3
204,Darko,Churlinov,3
205,Josh,Cullen,3
206,Marcus,Edwards,3
207,Hannibal,Mejbri,3
208,Luca,Koleosho,3
209,Josh,Laurent,3
210,Loum,Tchaouna,3
211,Aaron,Ramsey,3
212,Oluwaseun,Adewumi,3
213,Jaydon,Banel,3
214,Mike,Trésor Ndayishimiye,3
215,Zian,Flemming,3
216,Zeki,Amdouni,3
217,Lyle,Foster,3
218,Ashley,Barnes,3
219,Michael,Obafemi,3
470,Martin,Dúbravka,3
676,Lesley,Ugochukwu,3
680,Armando,Broja,3
722,Florentino Ibrain,Morris Luís,3
776,Oliver,Pimlott,3
784,George,Brierley,3
66,Norberto,Murara Neto,4
67,Đorđe,Petrović,4
68,Will,Dennis,4
69,Callan,McKenna,4
70,Alex,Paulsen,4
71,Illia,Zabarnyi,4
72,Marcos,Senesi Barón,4
73,Adam,Smith,4
74,Adrien,Truffert,4
75,Matai,Akinmboni,4
76,Owen,Bevan,4
77,James,Hill,4
78,Julián,Araujo Zúñiga,4
79,Chris,Mepham,4
80,Julio,Soler Barreto,4
81,Justin,Kluivert,4
82,Antoine,Semenyo,4
84,Marcus,Tavernier,4
85,Tyler,Adams,4
86,David,Brooks,4
87,Ryan,Christie,4
88,Lewis,Cook,4
89,Philip,Billing,4
90,Alex,Scott,4
91,Luis,Sinisterra Lucumí,4
92,Romain,Faivre,4
93,Hamed,Traorè,4
94,Dominic,Sadi,4
95,Zain,Silcott-Duberry,4
96,Ben,Winterburn,4
97,Francisco Evanilson,de Lima Barbosa,4
98,Enes,Ünal,4
99,Daniel,Adu-Adjei,4
100,Junior,Kroupi,4
391,Ben,Gannon-Doak,4
685,Bafodé,Diakité,4
687,Remy,Rees-Dottin,4
697,Amine,Adli,4
713,Álex,Jiménez Sánchez,4
721,Veljko,Milosavljevic,4
756,Malcom,DaCosta,4
782,Fraser,Forster,4
27,Reiss,Nelson,5
83,Dango,Ouattara,5
101,Caoimhín,Kelleher,5
102,Ellery,Balcombe,5
103,Matthew,Cox,5
104,Julian,Eyestone,5
105,Hákon Rafn,Valdimarsson,5
106,Nathan,Collins,5
107,Keane,Lewis-Potter,5
108,Kristoffer,Ajer,5
109,Rico,Henry,5
110,Michael,Kayode,5
111,Ethan,Pinnock,5
112,Mads,Roerslev Rasmussen,5
113,Sepp,van den Berg,5
114,Benjamin,Arthur,5
115,Benjamin,Fredrick,5
116,Aaron,Hickey,5
117,Kim,Ji-soo,5
118,Jayden,Meghoma,5
120,Kevin,Schade,5
121,Mikkel,Damsgaard,5
122,Antoni,Milambo,5
123,Fábio,Freitas Gouveia Carvalho,5
124,Jordan,Henderson,5
125,Vitaly,Janelt,5
126,Mathias,Jensen,5
127,Gustavo,Nunes Fernandes Gomes,5
128,Frank,Onyeka,5
129,Yehor,Yarmoliuk,5
130,Romelle,Donovan,5
131,Yunus Emre,Konak,5
132,Paris,Maghoma,5
133,Myles,Peart-Harris,5
134,Ryan,Trevitt,5
136,Igor Thiago,Nascimento Rodrigues,5
137,Iwan,Morgan,5
748,Josh,Dasilva,5
138,Jason,Steele,6
139,Bart,Verbruggen,6
140,Tom,McGill,6
141,Carl,Rushworth,6
142,Kjell,Scherpen,6
143,Olivier,Boscagli,6
144,Diego,Coppola,6
145,Maxim,De Cuyper,6
146,Lewis,Dunk,6
147,Pervis,Estupiñán Tenorio,6
148,Ferdi,Kadıoğlu,6
150,Tariq,Lamptey,6
151,Jan Paul,van Hecke,6
152,Joël,Veltman,6
153,Adam,Webster,6
154,Eiran,Cashin,6
155,Jacob,Slater,6
156,Charlie,Tasker,6
157,Mitoma,Kaoru,6
158,Georginio,Rutter,6
159,Solly,March,6
160,Yankuba,Minteh,6
161,Julio,Enciso Espínola,6
162,Brajan,Gruda,6
163,Jack,Hinshelwood,6
164,Matt,O'Riley,6
165,Abdallah,Sima,6
166,Yasin,Ayari,6
167,Carlos,Baleba,6
169,Diego,Gómez Amarilla,6
170,James,Milner,6
171,Jeremy,Sarmiento Morante,6
172,Tom,Watson,6
173,Mats,Wieffer,6
174,Malick,Yalcouyé,6
175,Joe,Knight,6
176,Adrian,Mazilu,6
177,Andrew,Moran,6
178,Danny,Welbeck,6
179,Evan,Ferguson,6
180,Stefanos,Tzimas,6
181,Charalampos,Kostoulas,6
744,Nehemiah,Oriola,6
761,Freddie,Simmonds,6
783,Pascal,Groß,6
168,Facundo,Buonanotte,7
220,Robert,Lynch Sánchez,7
221,Filip,Jörgensen,7
222,Mike,Penders,7
223,Gabriel,Słonina,7
224,Marc,Cucurella Saseta,7
225,Reece,James,7
226,Trevoh,Chalobah,7
227,Levi,Samuels Colwill,7
228,Malo,Gusto,7
229,Benoît,Badiashile Mukinayi,7
230,Wesley,Fofana,7
231,Mamadou,Sarr,7
232,Tosin,Adarabioyo,7
233,Josh,Acheampong,7
234,Aarón,Anselmino,7
235,Cole,Palmer,7
236,Pedro,Lomba Neto,7
237,Enzo,Fernández,7
238,Estêvão,Almeida de Oliveira Gonçalves,7
239,Jamie,Bynoe-Gittens,7
240,Christopher,Nkunku,7
241,Moisés,Caicedo Corozo,7
243,Tyrique,George,7
244,Roméo,Lavia,7
245,Mykhailo,Mudryk,7
246,Andrey,Nascimento dos Santos,7
247,Dário,Luís Essugo,7
248,Kendry,Páez Andrade,7
249,João Pedro,Junqueira de Jesus,7
250,Liam,Delap,7
251,Nicolas,Jackson,7
252,Marc,Guiu Paz,7
453,Alejandro,Garnacho Ferreyra,7
672,Jorrel,Hato,7
743,Landon,Emenalo,7
253,Dean,Henderson,8
254,Walter,Benítez,8
255,Remi,Matthews,8
256,Daniel,Muñoz Mejía,8
257,Maxence,Lacroix,8
258,Tyrick,Mitchell,8
259,Borna,Sosa,8
260,Marc,Guéhi,8
261,Chris,Richards,8
262,Chadi,Riad Dnanou,8
263,Nathaniel,Clyne,8
264,Rob,Holding,8
265,Caleb,Kporha,8
267,Ismaïla,Sarr,8
268,Cheick,Doucouré,8
269,Romain,Esse,8
270,Will,Hughes,8
271,Daichi,Kamada,8
272,Jefferson,Lerma Solís,8
273,Adam,Wharton,8
274,Asher,Agbinone,8
275,Naouirou,Ahamada,8
276,Justin,Devenny,8
277,Malcolm,Ebiowei,8
278,Jesurun,Rak-Sakyi,8
279,Matheus,França de Oliveira,8
280,David,Ozoh,8
281,Kaden,Rodney,8
282,Franco,Umeh-Chibueze,8
283,Jean-Philippe,Mateta,8
284,Eddie,Nketiah,8
285,Odsonne,Édouard,8
286,Zach,Marsh,8
580,Brennan,Johnson,8
690,Rio,Cardines,8
712,Yéremy,Pino Santos,8
723,Jaydee,Canvot,8
732,Christantus,Uche,8
762,Joél,Drakes-Thomas,8
773,Dean,Benamar,8
780,Ben,Casey,8
242,Kiernan,Dewsbury-Hall,9
287,Jordan,Pickford,9
288,Mark,Travers,9
289,Harry,Tyrer,9
290,Jarrad,Branthwaite,9
291,James,Tarkowski,9
292,Vitalii,Mykolenko,9
293,Jake,O'Brien,9
294,Séamus,Coleman,9
295,Michael,Keane,9
296,Nathan,Patterson,9
297,Roman,Dixon,9
298,Reece,Welch,9
299,Iliman,Ndiaye,9
300,Dwight,McNeil,9
301,Carlos,Alcaraz Durán,9
302,Idrissa Gana,Gueye,9
303,James,Garner,9
304,Tim,Iroegbunam,9
305,Harrison,Armstrong,9
306,Callum,Bates,9
307,Coby,Ebere,9
308,Isaac,Heath,9
309,Jenson,Metcalfe,9
310,Thierno,Barry,9
311,Norberto Bercique,Gomes Betuncal,9
312,Youssef,Ramalho Chermiti,9
313,Martin,Sherif,9
419,Jack,Grealish,9
630,Tom,King,9
667,Adam,Aznou,9
704,Tyler,Onyango,9
705,Elijah,Campbell,9
707,Tyler,Dibling,9
728,Merlin,Röhl,9
779,Braiden,Graham,9
314,Bernd,Leno,10
315,Steven,Benda,10
316,Antonee,Robinson,10
317,Joachim,Andersen,10
318,Calvin,Bassey,10
319,Timothy,Castagne,10
320,Issa,Diop,10
321,Jorge,Cuenca Barreno,10
