id,first_name,second_name,team,Top_100,Top_1K,Top_10K,Top_100K,Top_1M,Overall
1,Mesut,Özil,1,0.0,0.0,0.0,0.0,0.0,0.6006006006006006
2,Sokratis,Papastathopoulos,1,0.0,0.0,0.0,0.0,0.0,0.15015015015015015
3,David,Luiz Moreira Marinho,1,0.0,0.0,0.0,0.0,0.0,0.3003003003003003
4,Pierre-Emerick,Aubameyang,1,0.0,0.0,0.0,0.0,0.0,7.657657657657657
5,Cédric,Soares,1,0.0,0.0,0.0,0.0,0.0,0.45045045045045046
6,Alexandre,Lacazette,1,2.5,0.7194244604316548,0.5405405405405406,0.5221932114882507,2.5974025974025974,5.255255255255255
7,Shkodran,Mustafi,1,0.0,0.0,0.0,0.0,0.0,0.0
8,Bernd,Leno,1,6.25,6.115107913669065,4.594594594594595,4.699738903394255,5.974025974025974,7.057057057057057
9,Granit,Xhaka,1,0.0,0.0,0.0,0.26109660574412535,0.0,0.15015015015015015
10,Pablo,Marí,1,0.0,0.7194244604316548,0.2702702702702703,0.0,0.0,0.3003003003003003
11,Héctor,Bellerín,1,0.0,2.158273381294964,2.7027027027027026,2.610966057441253,3.116883116883117,5.105105105105105
13,Calum,Chambers,1,0.0,0.0,0.0,0.0,0.0,0.0
14,Sead,Kolasinac,1,0.0,0.0,0.0,0.0,0.0,0.15015015015015015
16,Rob,Holding,1,10.0,13.66906474820144,12.432432432432433,12.010443864229766,8.051948051948052,4.054054054054054
17,Kieran,Tierney,1,2.5,3.9568345323741005,3.783783783783784,1.3054830287206265,5.714285714285714,8.85885885885886
18,Nicolas,Pépé,1,0.0,0.0,0.0,0.0,0.0,0.15015015015015015
19,Lucas,Torreira,1,0.0,0.0,0.0,0.0,0.0,0.0
21,Reiss,Nelson,1,0.0,0.0,0.0,0.0,0.0,0.0
22,Edward,Nketiah,1,0.0,0.0,0.0,0.0,0.2597402597402597,0.7507507507507507
23,Emile,Smith Rowe,1,3.75,4.316546762589928,5.405405405405405,4.177545691906006,5.714285714285714,3.453453453453453
24,Bukayo,Saka,1,8.75,7.913669064748201,8.378378378378379,8.093994778067886,11.688311688311687,8.708708708708707
25,Matteo,Guendouzi,1,0.0,0.0,0.0,0.0,0.0,0.3003003003003003
26,Gabriel Teodoro,Martinelli Silva,1,0.0,0.7194244604316548,0.8108108108108109,0.5221932114882507,0.5194805194805194,0.45045045045045046
27,William,Saliba,1,0.0,0.0,0.0,0.0,0.2597402597402597,0.7507507507507507
70,Mathew,Ryan,1,0.0,3.9568345323741005,2.7027027027027026,5.483028720626632,6.493506493506493,8.108108108108109
478,Willian,Borges Da Silva,1,0.0,0.0,0.0,0.0,0.5194805194805194,3.303303303303303
494,Gabriel,Magalhães,1,0.0,0.0,0.0,0.26109660574412535,0.2597402597402597,6.006006006006006
501,Daniel,Ceballos Fernández,1,0.0,0.0,0.0,0.0,0.0,0.7507507507507507
526,Mohamed Naser,El Sayed Elneny,1,0.0,0.0,0.2702702702702703,0.26109660574412535,0.5194805194805194,0.7507507507507507
527,Matt,Macey,1,0.0,0.7194244604316548,1.3513513513513513,0.7832898172323759,1.8181818181818181,1.2012012012012012
547,Rúnar Alex,Rúnarsson,1,0.0,0.0,0.0,0.0,0.0,0.0
567,Thomas,Partey,1,0.0,0.0,0.0,0.0,0.0,0.15015015015015015
645,Martin,Ødegaard,1,0.0,0.0,0.0,0.0,0.0,0.0
689,Miguel,Azeez,1,0.0,0.0,0.0,0.0,0.0,0.0
12,Emiliano,Martínez,2,43.75,46.043165467625904,45.40540540540541,45.16971279373368,48.57142857142857,32.732732732732735
28,Tom,Heaton,2,0.0,0.0,0.0,0.0,0.0,0.0
29,Ahmed,El Mohamady,2,0.0,0.0,0.0,0.0,0.0,0.15015015015015015
30,Henri,Lansbury,2,0.0,0.0,0.0,0.0,0.0,0.15015015015015015
31,Neil,Taylor,2,0.0,0.0,0.0,0.0,0.0,0.3003003003003003
32,Jed,Steer,2,3.75,6.115107913669065,5.675675675675676,8.616187989556137,5.714285714285714,4.054054054054054
33,Conor,Hourihane,2,0.0,0.0,0.0,0.0,0.0,0.15015015015015015
34,José Ignacio,Peleteiro Romallo,2,0.0,0.0,0.0,0.0,0.0,0.0
35,Ørjan,Nyland,2,2.5,2.877697841726619,2.4324324324324325,4.43864229765013,4.415584415584416,5.105105105105105
36,Bjorn,Engels,2,0.0,0.0,0.0,0.0,0.0,0.15015015015015015
37,Jack,Grealish,2,37.5,27.697841726618705,33.78378378378378,32.637075718015666,42.077922077922075,34.68468468468468
38,John,McGinn,2,0.0,0.0,0.2702702702702703,0.0,1.5584415584415585,1.3513513513513513
39,Kortney,Hause,2,0.0,0.0,0.5405405405405406,0.26109660574412535,0.5194805194805194,0.3003003003003003
40,Mahmoud Ahmed,Ibrahim Hassan,2,0.0,0.0,0.0,0.0,0.0,0.3003003003003003
41,Tyrone,Mings,2,0.0,0.0,0.8108108108108109,0.5221932114882507,4.935064935064935,8.108108108108109
42,Matt,Targett,2,10.0,12.589928057553957,9.72972972972973,7.83289817232376,5.974025974025974,3.6036036036036037
43,James,Bree,2,0.0,0.0,0.0,0.0,0.0,0.0
44,Marvelous,Nakamba,2,0.0,0.0,0.0,0.0,0.7792207792207793,1.0510510510510511
45,Anwar,El Ghazi,2,2.5,3.9568345323741005,3.2432432432432434,3.6553524804177546,5.714285714285714,4.804804804804805
46,Ezri,Konsa Ngoyo,2,5.0,3.597122302158273,2.7027027027027026,4.43864229765013,6.753246753246753,5.405405405405405
47,Frédéric,Guilbert,2,0.0,0.0,0.0,0.0,0.0,0.0
48,Wesley,Moraes,2,0.0,0.0,0.0,0.0,0.0,0.0
49,Mbwana,Samatta,2,0.0,0.0,0.0,0.0,0.0,0.0
50,Keinan,Davis,2,7.5,5.755395683453238,4.054054054054054,6.005221932114883,7.012987012987012,11.11111111111111
51,Indiana,Vassilev,2,0.0,0.0,0.5405405405405406,0.26109660574412535,0.2597402597402597,1.0510510510510511
52,Douglas Luiz,Soares de Paulo,2,0.0,0.0,0.0,0.0,0.0,0.15015015015015015
