Overall Rank,Stadium,Town / City,Capacity,Club,League (Tier),Rank within League,Notes
66,Priestfield Stadium,Gillingham,11582,Gillingham,League One,15,
67,Dean Court,Bournemouth,11464,Bournemouth,Championship,20,Commercially known as the Vitality Stadium.
68,Bescot Stadium,Walsall,11300,Walsall,League Two,16,Commercially known as the Banks's Stadium.
69,Edgeley Park,Stockport,10832,Stockport County,National League,1,
70,The Shay,Halifax,10561,Halifax Town,National League,2,Shared with Halifax of Rugby League's Kingstone Press Championship.
N/A[nb 1],Racecourse Ground,Wrexham,10500,Wrexham,National League,3,Capacity does not include the closed Kop Terrace.
71,Proact Stadium,Chesterfield,10400,Chesterfield,National League,4,Formerly known as the B2net Stadium.
72,Kenilworth Road,Luton,10356,Luton Town,Championship,17,
73,Adams Park,Wycombe,10300,Wycombe Wanderers,Championship,18,
74,Spotland,Rochdale,10249,Rochdale,League One,19,Shared with Rochdale Hornets of Rugby League's Kingstone Press League 1.
75,Sincil Bank,Lincoln,10130,Lincoln City,League One,9,
76,Colchester Community Stadium,Colchester,10105,Colchester United,League Two,10,Commercially known as the Jobserve Community Stadium.
77,Alexandra Stadium,Crewe,10066,Crewe Alexandra,League One,11,
78,Field Mill,Mansfield,10000,Mansfield Town,League Two,12,Commercially known as the One Call Stadium.
79,Greenhous Meadow,Shrewsbury,9875,Shrewsbury Town,League One,20,
80,Huish Park,Yeovil,9665,Yeovil Town,National League,13,
80,Huish Park,Yeovil,9665,Yeovil Town Ladies,Women's National League South,3,
81,Abbey Stadium,Cambridge,9617,Cambridge United,League Two,14,Commercially known as the R Costings Abbey Stadium.
82,Blundell Park,Cleethorpes,9546,Grimsby Town,League Two,15,
83,Brisbane Road,London,9271,Leyton Orient,League Two,5,Commercially known as the Breyer Group Stadium.
84,Glanford Park,Scunthorpe,9183,Scunthorpe United,League Two,21,
85,Twerton Park,Bath,8880,Bath City,National League South (6),1,
86,St James Park,Exeter,8830,Exeter City,League Two,16,
87,Bootham Crescent,York,7872,York City,National League North (6),2,Formerly commercially known as KitKat Crescent Stadium.
88,Victoria Park,Hartlepool,7833,Hartlepool United,National League,6,
89,Sixfields Stadium,Northampton,7750,Northampton Town,League One,17,
90,Recreation Ground,Aldershot,7100,Aldershot Town,National League,7,Commercially known as the EBB Stadium.
91,Whaddon Road,Cheltenham,7066,Cheltenham Town,League Two,18,Commercially known as the World of Smile Stadium.
N/A[nb 1],Rodney Parade,Newport,7012,Newport County,League Two,19,Shared with Dragons of Rugby Union's Pro14 and Newport RFC of the Welsh Premier Division.
92,Academy Stadium,Manchester,7000,Manchester City Women's F.C.,Women's Super League 1,4,
93,Broadhall Way,Stevenage,6920,Stevenage,League Two,20,Commercially known as the Lamex Stadium.
94,Pirelli Stadium,Burton-upon-Trent,6912,Burton Albion,League One,22,
95,York Street,Boston,6643,Boston United,National League North (6),3,
96=,Plainmoor,Torquay,6500,Torquay United,National League,8,
96=,Bower Fold,Stalybridge,6500,Stalybridge Celtic,Northern Premier League (7),3,
98,Globe Arena,Morecambe,6476,Morecambe,League Two,21,
99,Moss Rose,Macclesfield,6335,Macclesfield Town,,22,
100,New Bucks Head,Telford,6300,Telford United,National League North (6),5,
101,Aggborough,Kidderminster,6238,Kidderminster Harriers,National League North (6),6,
101,Aggborough,Kidderminster,6238,Worcester City,Midland Football League (9),2,
102,Moss Lane,Altrincham,6085,Altrincham,National League,4,
103,Haig Avenue,Southport,6008,Southport,National League North (6),3,
104=,Victoria Road,Dagenham,6000,Dagenham & Redbridge,National League,10,Commercially known as the London Borough of Barking and Dagenham Stadium.
104=,Kingfield Stadium,Woking,6000,Woking,National League,11,
104=,Mill Farm,"Kirkham, Lancashire",6000,A.F.C. Fylde,National League North (6),12,
104=,The Camrose,Basingstoke,6000,Basingstoke Town,Southern League Division One South (8),1,Commercially known as the Soccer AM Stadium.
104=,Cherrywood Road,Farnborough,6000,Farnborough,Southern League Division One South (8),1,
104=,Cherrywood Road,Farnborough,6000,Reading Women,Women's Super League 1,5,
109,Broadfield Stadium,Crawley,5996,Crawley Town,League Two,23,
110,Crabble Athletic Ground,Dover,5745,Dover Athletic,National League,12,
111,Highbury Stadium,Fleetwood,5311,Fleetwood Town,League One,23,
112,West Leigh Park,Havant,5250,Havant & Waterlooville,National League South (6),1,
112,West Leigh Park,Havant,5250,Portsmouth Ladies,Women's National League South,1,
113,The Hive Stadium,London,5233,Barnet,National League,22,
113,The Hive Stadium,London,5233,London Bees,Women's Super League 2,4,
114,Silverlake Stadium,Eastleigh,5192,Eastleigh,National League,13,
115,The New Lawn,Nailsworth,5140,Forest Green Rovers,League Two,24,
116,Deva Stadium,Chester,5126,Chester,National League North (6),14,Straddles the England–Wales border.
117,Wham Stadium,Accrington,5057,Accrington Stanley,League One,24,
118,Gander Green Lane,London,5013,Sutton United,National League,15,
119,Stonebridge Road,Northfleet,5011,Ebbsfleet United,National League South (6),16,
120,Fortress Stadium,Bromley,5000,Bromley,National League,17,
,Kingsmeadow,London,4850,Wimbledon,League One,25,
,Kingsmeadow,London,4850,Kingstonian,Isthmian League Premier Division (7),2,
,Meadow Park,Borehamwood,4500,Boreham Wood,National League,18,
,Meadow Park,Borehamwood,4500,Arsenal Ladies,Women's Super League 1,6,
,Holker Street,Barrow-in-Furness,5045,Barrow,League Two,19,
,Shielfield Park,Berwick-upon-Tweed,4131,Berwick Rangers,Scottish Lowland Football League (5),,
,Cressing Road,Braintree,4151,Braintree Town,National League South (6),10,
,York Road,Maidenhead,3337,Maidenhead United,National League,21,
,Damson Park,Solihull,3050,Solihull Moors,National League,22,
,Damson Park,Solihull,3050,Birmingham City Ladies,Women's Super League 1,7,
,Gallagher Stadium,Maidstone,3000,Maidstone United,National League South (6),23,
,Nethermoor Park,Guiseley,3000,Guiseley,National League North (6),24,
,Wheatsheaf Park,Staines,3009,Chelsea Ladies,Women's Super League 1,8,
,Wheatsheaf Park,Staines,3009,Staines Town,Isthmian League Div 1 South (8),13,
,Eppleton Colliery Welfare Ground,Hetton-le-Hole,2000,Sunderland Ladies,FA Women's National League North,1,
,Park Hall,Oswestry,2000,The New Saints,,,
